co2_emissions,gdp,green_invention_patents,green_utility_patents,Factor_1,Factor_2,Factor_3,Factor_4
-0.4100795872789026,0.2513150885185055,0.29095293977176273,-0.01980558694831702,0.32599356592152134,-0.49543351405078145,-0.7974905745336337,0.08618932786535902
-0.3913585674215005,0.351578055592899,0.34376313425582994,0.06285411285567219,0.1121016097057896,-0.44909156601371136,-0.4050122185414641,-0.03524075634072429
-0.3580881126536465,0.437976995852681,0.5846944362799155,0.23275232965395903,0.5593723814650429,-0.41373056179276374,-0.34107849625065817,0.10462237007607514
-0.4127352670376435,0.584168041018969,0.7601605663398806,0.4147000653741102,0.6397317268856495,-0.3561396673191479,0.21260598379299073,0.16135538709563427
-0.40166531598809496,0.7430181522800751,1.0239681738086772,0.6884651352788674,0.2524532876465126,-0.2658746361524604,1.150291159882703,0.10534949244704263
-0.37979398776699913,0.9007703070551915,1.2933731751628819,0.8058274495778259,0.7704911177865453,-0.21287704138986915,1.0369555683656733,0.24284581009017497
-0.3461399338567726,1.015781248962578,1.6591506973267205,1.2661190723930429,1.360468462463087,-0.23557011630823466,0.4920116636016808,0.35432400742574016
-0.3615995338448222,1.079178931312481,1.9855030973411636,1.7083364168254633,1.607357660090785,-0.20894361661558253,0.3471421322339685,0.3883993774963263
-0.3199438736086821,1.332988321537693,2.291656206377829,1.6302555342117824,1.7474559781285652,-0.29836336767004007,-0.15905318068562668,0.42584767267493223
-0.3486304031642831,1.4044066690649082,2.198690794889748,1.2104502949740297,1.8237400147086225,-0.28931299435301333,-0.1506423973176222,0.4405396512719274
-0.30882649514835014,1.535137928625507,2.2386026469422227,1.3651661179307675,1.796689130450474,-0.28358161315611147,-0.10557104386725348,0.4005086418387702
-0.8845272727867954,-0.7609030920458716,-0.48513789068763963,-0.49094177679321177,-1.704798643002287,-0.21640270977013343,-0.20912447703603143,-0.7279776844543737
-0.8715050655303077,-0.7546642799792964,-0.48148741641454745,-0.4933516805775846,-1.5214999930056534,-0.28790449083503517,-0.2650237736578418,-0.8727716143935148
-0.8560539091207257,-0.7450990319488128,-0.4805139566083895,-0.4902188056578999,-1.343792531073481,-0.17936322814293434,-0.20869959957686904,-0.8019404522907019
-0.7909564993254611,-0.731997991844804,-0.4756466575775999,-0.48925484414415077,-1.3837417184274228,-0.2659064882297405,-0.20784440315705324,-0.8077506701069187
-0.7245530286154702,-0.708191876002399,-0.47735021223837626,-0.4914237575500863,-1.3220476227017146,-0.29164317265923173,0.017786817688179503,-1.1212781081153569
-0.6791499934645666,-0.6910711985937512,-0.4698058987406524,-0.4914237575500863,-0.9382647528875451,-0.19500306243917118,-0.3499182396218185,-1.1260391807703534
-0.5816777576384711,-0.6629523468932437,-0.468102344079876,-0.4829890943047813,-0.7324310526032617,-0.28561398883967426,-0.5146394820618815,-0.8474705402763779
-0.49898274216805594,-0.6160426212651471,-0.46566869456448123,-0.4856399884675915,-0.7013777094687584,-0.36865684583365677,-0.6327057546606782,-0.8007658507220977
-0.48207211570335123,-0.5716312118784754,-0.45204025727827035,-0.4731084887888526,-0.3640951603072954,-0.30211076748876514,-0.2950898260101512,-0.7703878625699664
-0.4584454254612291,-0.5451313807590031,-0.449849972714415,-0.4653967966788594,-0.6518956570351372,-0.3094257094181001,0.29515463960532123,-0.7805444975919419
-0.410593169137282,-0.4902475135335092,-0.4342746158158883,-0.45672114305511713,-0.5113140398883882,-0.32520920701536066,0.20722041832282165,-0.6891238038078985
