省,省代码,年份,CO2排放量_吨
黑龙江省,230000,1976,59395070.83
湖北省,420000,1976,44325128.34
湖南省,430000,1976,33805399.2
吉林省,220000,1976,35867117.27
江苏省,320000,1976,78282943.16
江西省,360000,1976,23902705.05
辽宁省,210000,1976,70691333.19
内蒙古自治区,150000,1976,41623158.81
宁夏回族自治区,640000,1976,11100828.84
青海省,630000,1976,6228849.516
山东省,370000,1976,151775701.1
山西省,140000,1976,47595987.64
陕西省,610000,1976,37859618.11
上海市,310000,1976,29616833.48
四川省,510000,1976,41867188.56
台湾省,710000,1976,49817272.18
天津市,120000,1976,21624027.89
西藏自治区,540000,1976,3643908.229
香港特别行政区,810000,1976,11919197.27
新疆维吾尔自治区,650000,1976,38519776.66
云南省,530000,1976,23413325.97
浙江省,330000,1976,22804426.18
重庆市,500000,1976,14051040.42
安徽省,340000,1977,53305745.47
澳门特别行政区,820000,1977,248692.0517
北京市,110000,1977,35768135.09
福建省,350000,1977,20871477.85
甘肃省,620000,1977,39042897.58
广东省,440000,1977,52897180.69
广西壮族自治区,450000,1977,33293235.9
贵州省,520000,1977,21215423.57
海南省,460000,1977,4822659.161
河北省,130000,1977,85466298.57
河南省,410000,1977,88819100.46
黑龙江省,230000,1977,66901058.82
湖北省,420000,1977,49335446.44
湖南省,430000,1977,37536276.82
吉林省,220000,1977,40146989.25
江苏省,320000,1977,86588153.13
江西省,360000,1977,26839560.53
辽宁省,210000,1977,77731483.6
内蒙古自治区,150000,1977,45983874.99
宁夏回族自治区,640000,1977,12136618.89
青海省,630000,1977,7038681.045
山东省,370000,1977,169440865.3
山西省,140000,1977,53046800.6
陕西省,610000,1977,43213010.5
上海市,310000,1977,33954831.32
四川省,510000,1977,46996697.95
台湾省,710000,1977,53281213.25
天津市,120000,1977,24181521.92
西藏自治区,540000,1977,4083390.825
香港特别行政区,810000,1977,13720318.1
新疆维吾尔自治区,650000,1977,43335085.74
云南省,530000,1977,26458585.75
浙江省,330000,1977,25402104.3
重庆市,500000,1977,15749012.94
安徽省,340000,1978,60418448.23
澳门特别行政区,820000,1978,267512.5118
北京市,110000,1978,38753408.57
福建省,350000,1978,23535685.6
甘肃省,620000,1978,41446749.49
广东省,440000,1978,59834077.05
广西壮族自治区,450000,1978,36396284.73
贵州省,520000,1978,23943521.11
海南省,460000,1978,5365695.607
河北省,130000,1978,100757026
河南省,410000,1978,101247520.7
黑龙江省,230000,1978,72975973.85
湖北省,420000,1978,56911013.44
湖南省,430000,1978,41126161.68
吉林省,220000,1978,45112854.08
江苏省,320000,1978,102121614.9
江西省,360000,1978,30424758.91
辽宁省,210000,1978,86866595.03
内蒙古自治区,150000,1978,52691498.53
宁夏回族自治区,640000,1978,13778233.49
青海省,630000,1978,7402725.328
山东省,370000,1978,196517426.2
山西省,140000,1978,58907658.72
陕西省,610000,1978,48339895.24
上海市,310000,1978,37210911.37
四川省,510000,1978,52413976.08
台湾省,710000,1978,60661966.53
天津市,120000,1978,25822351.43
西藏自治区,540000,1978,4355220.885
香港特别行政区,810000,1978,14469558.12
新疆维吾尔自治区,650000,1978,46214052.63
云南省,530000,1978,29615820.57
浙江省,330000,1978,29216208.25
重庆市,500000,1978,17150940.44
安徽省,340000,1979,61129048.5
澳门特别行政区,820000,1979,283206.0999
北京市,110000,1979,38487082.93
福建省,350000,1979,24781283.35
甘肃省,620000,1979,41573104
广东省,440000,1979,60332712.72
广西壮族自治区,450000,1979,36963637.75
贵州省,520000,1979,24885994.4
海南省,460000,1979,5507245.797
河北省,130000,1979,103318905.9
河南省,410000,1979,105451251.7
黑龙江省,230000,1979,75299937.34
湖北省,420000,1979,60736680.91
湖南省,430000,1979,42842072.06
吉林省,220000,1979,46088385.54
江苏省,320000,1979,106682770.3
江西省,360000,1979,30870693
辽宁省,210000,1979,87325684.27
内蒙古自治区,150000,1979,53175592.12
宁夏回族自治区,640000,1979,14106291.64
青海省,630000,1979,7479307.151
山东省,370000,1979,199225807.6
山西省,140000,1979,60770675.62
陕西省,610000,1979,48581360.7
上海市,310000,1979,37459214.1
四川省,510000,1979,53731018.02
台湾省,710000,1979,63875758.43
天津市,120000,1979,25702973.66
西藏自治区,540000,1979,4472864.886
香港特别行政区,810000,1979,13838574.63
新疆维吾尔自治区,650000,1979,46509550.39
云南省,530000,1979,30205196.77
浙江省,330000,1979,29660209.54
重庆市,500000,1979,17495262.23
安徽省,340000,1980,65743257.88
澳门特别行政区,820000,1980,375942.7583
北京市,110000,1980,22753150.33
福建省,350000,1980,23976285.15
甘肃省,620000,1980,33284928.6
广东省,440000,1980,48121625.03
广西壮族自治区,450000,1980,34851108.62
贵州省,520000,1980,26128961.04
海南省,460000,1980,6005996.792
河北省,130000,1980,109853780.9
河南省,410000,1980,111530213.6
黑龙江省,230000,1980,52436838.19
湖北省,420000,1980,73724585.68
湖南省,430000,1980,48615602.32
吉林省,220000,1980,35477372.62
江苏省,320000,1980,109166041.3
江西省,360000,1980,33520882.83
辽宁省,210000,1980,88763962.84
内蒙古自治区,150000,1980,51105104.35
宁夏回族自治区,640000,1980,14200217.44
青海省,630000,1980,8423649.219
山东省,370000,1980,198520857.9
山西省,140000,1980,60999666.27
陕西省,610000,1980,46148615.11
上海市,310000,1980,32989570.15
四川省,510000,1980,60848016.79
台湾省,710000,1980,68127246.26
天津市,120000,1980,18408909.17
西藏自治区,540000,1980,4260287.919
香港特别行政区,810000,1980,14197478.03
新疆维吾尔自治区,650000,1980,40372861.96
云南省,530000,1980,28232431.29
浙江省,330000,1980,31944074.9
重庆市,500000,1980,17856762.05
安徽省,340000,1981,66437037.31
澳门特别行政区,820000,1981,368726.7811
北京市,110000,1981,22375859.08
福建省,350000,1981,23960275.75
甘肃省,620000,1981,33334903.29
广东省,440000,1981,48001049.06
广西壮族自治区,450000,1981,35022527.97
贵州省,520000,1981,26165236.77
海南省,460000,1981,5996081.56
河北省,130000,1981,106893239.2
河南省,410000,1981,110415094.2
黑龙江省,230000,1981,53969242.71
湖北省,420000,1981,71855599.85
湖南省,430000,1981,48649636.24
吉林省,220000,1981,35361025.26
江苏省,320000,1981,106033444.6
江西省,360000,1981,34117442.84
辽宁省,210000,1981,88586399.4
内蒙古自治区,150000,1981,50305719.21
宁夏回族自治区,640000,1981,13707549.9
青海省,630000,1981,8368566.583
山东省,370000,1981,195203238.3
山西省,140000,1981,62074213.86
陕西省,610000,1981,45567106.38
上海市,310000,1981,31285784.43
四川省,510000,1981,60736163.44
台湾省,710000,1981,63070193.17
天津市,120000,1981,17904798.99
西藏自治区,540000,1981,4295022.093
香港特别行政区,810000,1981,15107762.94
新疆维吾尔自治区,650000,1981,39680395.74
云南省,530000,1981,28315299.86
浙江省,330000,1981,31675568.43
重庆市,500000,1981,18143871.08
安徽省,340000,1982,70830276.49
澳门特别行政区,820000,1982,397833.5867
北京市,110000,1982,23078100.59
福建省,350000,1982,25477829.19
甘肃省,620000,1982,36671405.38
广东省,440000,1982,49921634.33
广西壮族自治区,450000,1982,37329867.47
贵州省,520000,1982,27190950.51
海南省,460000,1982,6393817.637
河北省,130000,1982,110839825.2
河南省,410000,1982,115452664.9
黑龙江省,230000,1982,57336175.14
湖北省,420000,1982,77725358.8
湖南省,430000,1982,50599925.01
吉林省,220000,1982,36298692.91
江苏省,320000,1982,109903187.7
江西省,360000,1982,35553069.02
辽宁省,210000,1982,91147014.94
内蒙古自治区,150000,1982,52210555.92
宁夏回族自治区,640000,1982,14136650.94
青海省,630000,1982,8766445.647
山东省,370000,1982,202897420.1
山西省,140000,1982,64961796.1
陕西省,610000,1982,47185379
上海市,310000,1982,32620600.29
四川省,510000,1982,64249321.41
台湾省,710000,1982,66616313.18
天津市,120000,1982,18769676.84
西藏自治区,540000,1982,4554325.208
香港特别行政区,810000,1982,14015905.26
新疆维吾尔自治区,650000,1982,41204980.13
云南省,530000,1982,30034183.88
浙江省,330000,1982,34451863.29
重庆市,500000,1982,19347197.96
安徽省,340000,1983,73763649.92
澳门特别行政区,820000,1983,465659.0154
北京市,110000,1983,23446447.7
福建省,350000,1983,27415451.41
甘肃省,620000,1983,37569084.13
广东省,440000,1983,54176341.81
广西壮族自治区,450000,1983,39760250.58
贵州省,520000,1983,28026834.51
海南省,460000,1983,6909700.461
河北省,130000,1983,119229076.2
河南省,410000,1983,120165781.9
黑龙江省,230000,1983,61822167.16
湖北省,420000,1983,82790421.67
湖南省,430000,1983,52484146.07
吉林省,220000,1983,37436956.4
江苏省,320000,1983,115795371.2
江西省,360000,1983,37704828.97
辽宁省,210000,1983,96950984.8
内蒙古自治区,150000,1983,55960502.65
宁夏回族自治区,640000,1983,14860136.41
青海省,630000,1983,9176769.675
山东省,370000,1983,215131132.6
山西省,140000,1983,67309716.22
陕西省,610000,1983,50445845.95
上海市,310000,1983,33727689.82
四川省,510000,1983,66397422.14
台湾省,710000,1983,69862781.66
天津市,120000,1983,18992501
西藏自治区,540000,1983,4862975.516
香港特别行政区,810000,1983,15816366.52
新疆维吾尔自治区,650000,1983,42918344.81
云南省,530000,1983,32191029.04
浙江省,330000,1983,37285299.35
重庆市,500000,1983,20130410.75
安徽省,340000,1984,79019471.28
澳门特别行政区,820000,1984,483248.6091
北京市,110000,1984,25744017.04
福建省,350000,1984,30550077.71
甘肃省,620000,1984,40392130.01
广东省,440000,1984,58711045.34
广西壮族自治区,450000,1984,43101464.18
贵州省,520000,1984,30005262.18
海南省,460000,1984,7434971.123
河北省,130000,1984,131389970.3
河南省,410000,1984,128667447.3
黑龙江省,230000,1984,68146699.59
湖北省,420000,1984,90422277.62
湖南省,430000,1984,57450805.52
吉林省,220000,1984,40767126.01
江苏省,320000,1984,131891049.3
江西省,360000,1984,43135211.56
辽宁省,210000,1984,110658185.7
内蒙古自治区,150000,1984,59584067.55
宁夏回族自治区,640000,1984,15775723.2
青海省,630000,1984,9708959.496
山东省,370000,1984,227918983.2
山西省,140000,1984,74727588.53
陕西省,610000,1984,55227389.2
上海市,310000,1984,37146598.89
四川省,510000,1984,70822063.39
台湾省,710000,1984,71726128.27
天津市,120000,1984,20618686.79
西藏自治区,540000,1984,5202872.424
香港特别行政区,810000,1984,17435585.29
新疆维吾尔自治区,650000,1984,47542275.97
云南省,530000,1984,34444934.87
浙江省,330000,1984,41348316.5
重庆市,500000,1984,21790271.29
安徽省,340000,1985,79421630.77
澳门特别行政区,820000,1985,540847.2922
北京市,110000,1985,25571286.15
福建省,350000,1985,34146185.64
甘肃省,620000,1985,40304740.91
广东省,440000,1985,65454653.84
广西壮族自治区,450000,1985,48608277.99
贵州省,520000,1985,29517822.03
海南省,460000,1985,8254701.24
河北省,130000,1985,123867471.3
河南省,410000,1985,136507196.2
黑龙江省,230000,1985,68491958.23
湖北省,420000,1985,87375824.26
湖南省,430000,1985,56823918.13
