co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance
520912330.6,45525.1,6948,7150,0.043,0.142,0.05,0.071,0.075,0.062,0.662
546920399.2,48227.5,7529,7585,0.043,0.144,0.05,0.071,0.074,0.062,0.585
384095327.3,8348.5,106,241,0.025,0.07,0.065,0.023,0.036,0.032,2.396
403922520.8,9172.3,151,260,0.026,0.076,0.055,0.023,0.039,0.033,2.601
450278097.7,10192.6,130,362,0.024,0.077,0.069,0.026,0.038,0.037,2.16
549374220.2,11028,188,375,0.027,0.077,0.054,0.021,0.04,0.035,2.066
623612538.1,13456.2,201,337,0.029,0.079,0.049,0.026,0.044,0.036,1.87
673934531.5,16120.9,308,469,0.029,0.088,0.051,0.03,0.045,0.042,1.459
736411950.3,19184,430,612,0.029,0.087,0.037,0.023,0.045,0.04,1.309
781165657.9,22994.5,545,869,0.032,0.096,0.034,0.02,0.049,0.043,1.125
795067085.4,27460.2,746,1041,0.035,0.098,0.036,0.032,0.051,0.046,1.061
840164781.3,29957.2,956,1464,0.03,0.1,0.026,0.033,0.051,0.044,0.856
888233588,34429.4,1220,1990,0.038,0.103,0.029,0.059,0.053,0.05,0.886
949154573.9,39622,1578,2384,0.033,0.103,0.026,0.054,0.051,0.044,0.684
975769063,43584.3,2593,2951,0.035,0.107,0.023,0.065,0.052,0.05,0.754
1027827623,48058.1,3620,2906,0.035,0.112,0.022,0.087,0.055,0.047,0.671
1036199633,51552.7,4187,3759,0.037,0.12,0.029,0.062,0.063,0.052,0.638
1042331762,56159.1,5144,5312,0.043,0.125,0.024,0.082,0.06,0.06,0.653
1062190662,59702.6,5982,6900,0.042,0.127,0.03,0.104,0.065,0.061,0.599
1074950876,63958.6,6264,8019,0.04,0.127,0.025,0.094,0.063,0.058,0.572
1110236768,67864.4,6752,8333,0.043,0.135,0.029,0.107,0.072,0.062,0.5
1137954077,72024.3,6999,11974,0.043,0.131,0.023,0.125,0.063,0.056,0.655
1148726669,74355.9,8463,16318,0.043,0.132,0.022,0.108,0.068,0.057,0.553
1178087737,84838,8567,16182,0.047,0.137,0.025,0.09,0.073,0.064,0.493
1146652057,89519.4,9608,14282,0.047,0.139,0.025,0.09,0.073,0.063,0.514
1177673402,94206.4,11072,14826,0.048,0.139,0.024,0.089,0.074,0.063,0.532
165876878.5,1861.9,30,40,0.021,0.067,0.279,0.021,0.034,0.033,8.782
173419965.7,2049,30,34,0.022,0.072,0.244,0.02,0.038,0.032,7.27
199129088.3,2348.2,39,42,0.023,0.072,0.253,0.019,0.037,0.034,6.991
227608100.8,2884,35,45,0.025,0.081,0.246,0.029,0.044,0.035,5.288
259195835.4,3533.1,38,47,0.026,0.088,0.207,0.026,0.043,0.039,4.689
313274691,4118,53,71,0.03,0.089,0.193,0.028,0.046,0.039,3.904
338823362.9,4758.7,83,107,0.03,0.091,0.23,0.022,0.048,0.045,4.121
369838816.3,5991.9,92,116,0.029,0.096,0.161,0.023,0.051,0.044,3.541
381437919.4,7295.8,101,180,0.031,0.094,0.147,0.031,0.049,0.044,2.816
418635254.2,7231.2,175,234,0.037,0.105,0.15,0.032,0.055,0.045,3.082
448659477.4,9004.5,196,275,0.031,0.103,0.126,0.037,0.054,0.046,2.418
495650066.9,11005.1,248,282,0.04,0.114,0.128,0.037,0.06,0.05,2.184
518496390.5,11819.7,343,422,0.037,0.112,0.118,0.035,0.061,0.049,1.82
535790938.2,12171.8,405,507,0.036,0.119,0.109,0.042,0.059,0.05,1.687
525515876,12307,479,529,0.04,0.114,0.115,0.035,0.057,0.054,1.92
504833116.1,12036.1,452,636,0.041,0.113,0.123,0.042,0.059,0.051,1.788
501151417.2,12160.1,592,750,0.041,0.124,0.104,0.04,0.063,0.059,1.904
506536389.1,14679.1,725,1072,0.04,0.12,0.105,0.045,0.066,0.053,1.454
522573042.6,16153.1,980,1133,0.045,0.129,0.105,0.06,0.065,0.064,1.792
529401520.2,17311,947,1825,0.046,0.135,0.106,0.09,0.069,0.06,1.583
530238223.4,18202.7,1117,2397,0.047,0.137,0.107,0.099,0.071,0.061,1.78
579007295.7,23087.8,1130,2023,0.052,0.139,0.1,0.082,0.077,0.065,1.147
589578338.1,25653.2,1232,1789,0.051,0.137,0.1,0.081,0.076,0.065,1.073
629094764.2,26050.8,1543,1941,0.052,0.138,0.098,0.08,0.076,0.066,1.134
89410303.8,1823.3,34,53,0.024,0.072,0.347,0.02,0.036,0.032,13.956
93520959.33,2034.1,29,65,0.025,0.077,0.301,0.017,0.04,0.032,10.664
100035344.8,2281.1,44,91,0.026,0.076,0.284,0.028,0.039,0.033,10.497
114939673.5,2618.8,95,99,0.027,0.078,0.284,0.026,0.042,0.036,9.882
132745839.6,3178.4,83,86,0.029,0.085,0.279,0.022,0.046,0.039,7.798
155551894.4,3857.4,108,110,0.03,0.085,0.186,0.029,0.043,0.038,6.66
165371253.1,4642.1,141,117,0.03,0.088,0.17,0.022,0.043,0.041,5.674
195688075.5,5739.7,201,164,0.032,0.092,0.173,0.025,0.047,0.04,4.775
216817366.6,7256.8,313,230,0.033,0.101,0.125,0.029,0.052,0.042,4.403
233338472.3,8094.9,609,364,0.037,0.105,0.13,0.032,0.056,0.046,3.74
251726499.8,9973,788,547,0.034,0.099,0.106,0.039,0.05,0.044,3.168
279156526.4,12320.1,1253,574,0.036,0.106,0.101,0.044,0.055,0.05,2.534
278889075.5,14311.5,1766,1052,0.036,0.116,0.113,0.042,0.059,0.052,2.377
296454483.6,16106.3,1949,1181,0.036,0.109,0.077,0.053,0.058,0.05,2.245
293576358.9,17635.6,1834,1160,0.042,0.121,0.091,0.046,0.066,0.054,2.251
297184972.4,18188.3,1413,1589,0.038,0.124,0.093,0.064,0.064,0.056,2.04
295280449.9,19354.6,1736,1814,0.042,0.122,0.082,0.047,0.061,0.059,2.172
298113446.5,21776.1,3575,2315,0.041,0.124,0.085,0.055,0.063,0.056,1.777
327794510.8,24354.8,3121,2424,0.043,0.134,0.08,0.065,0.074,0.062,1.72
347842949.6,26214.5,3715,3517,0.042,0.13,0.068,0.103,0.069,0.06,1.57
360443411.2,26297,3851,4841,0.046,0.132,0.084,0.077,0.066,0.058,1.558
384606805.3,30476.6,4160,4224,0.045,0.136,0.072,0.066,0.071,0.061,1.503
385799154.6,33035.6,4369,4064,0.045,0.134,0.07,0.066,0.072,0.06,1.472
427613190.9,33976.5,4572,4356,0.047,0.137,0.071,0.066,0.073,0.06,1.53
243059512.2,10958.4,116,222,0.022,0.066,0.05,0.01,0.034,0.03,2.919
252345786.4,12319.2,153,287,0.023,0.069,0.047,0.01,0.036,0.03,2.754
265486402.1,13848.6,232,360,0.025,0.079,0.051,0.011,0.041,0.037,2.517
305345034.3,16286.6,321,505,0.027,0.078,0.043,0.011,0.04,0.036,2.206
348366777.7,18994,461,592,0.03,0.083,0.04,0.011,0.042,0.041,1.973
371462010.5,22366.1,695,785,0.028,0.088,0.041,0.016,0.049,0.041,1.657
383360096.6,26403.1,970,954,0.029,0.094,0.039,0.015,0.05,0.042,1.446
392957070.6,32308.5,1155,1181,0.028,0.089,0.028,0.014,0.048,0.043,1.27
397043715.1,37351.5,1479,1511,0.031,0.094,0.024,0.023,0.046,0.042,1.108
420275364.5,40215.7,2240,1986,0.031,0.094,0.021,0.054,0.052,0.046,1.162
462201726.2,46821.3,2797,2859,0.033,0.104,0.024,0.101,0.053,0.047,0.962
519080536.8,54009.6,3175,3497,0.034,0.109,0.021,0.111,0.055,0.047,0.893
528102851,58057.6,4223,4524,0.04,0.114,0.024,0.095,0.061,0.051,0.822
