uid,province_id,province,year,co2_emissions,gdp,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gfindex,green_finance_pilot
6521,15,Xinjiang,2021,482794940.9,16791.5,608,1274,0.049,0.136,0.141,0.032,0.067,0.061,0.967,0.183,1
6522,15,Xinjiang,2022,484931166.4,18550.5,786,1428,0.048,0.136,0.142,0.031,0.069,0.061,0.756,0.202,1
6523,15,Xinjiang,2023,522624165.4,19603.3,974,1744,0.048,0.135,0.141,0.031,0.069,0.061,0.595,0.192,1
3200,16,Jiangsu,2000,279168196.9,8635.1,98,221,0.023,0.068,0.054,0.021,0.035,0.03,2.468,0.248,0
3201,16,Jiangsu,2001,297308552.2,9554.3,127,269,0.023,0.071,0.063,0.017,0.036,0.033,2.622,0.225,0
3202,16,Jiangsu,2002,312324741,10723.9,159,356,0.023,0.074,0.048,0.019,0.04,0.035,2.192,0.225,0
3203,16,Jiangsu,2003,363877490,12588.2,227,385,0.028,0.076,0.055,0.023,0.04,0.036,1.975,0.274,0
3204,16,Jiangsu,2004,434922548.6,14998.7,321,419,0.027,0.078,0.048,0.028,0.043,0.037,1.682,0.262,0
3205,16,Jiangsu,2005,531706076,18345.9,521,552,0.027,0.084,0.046,0.028,0.046,0.037,1.567,0.247,0
3206,16,Jiangsu,2006,597512846.8,21525.1,679,591,0.032,0.094,0.048,0.027,0.05,0.044,1.419,0.47,0
3207,16,Jiangsu,2007,618783054.2,26373.8,986,799,0.031,0.094,0.033,0.024,0.048,0.043,1.079,0.275,0
3208,16,Jiangsu,2008,630227213.2,31445.7,1444,1308,0.031,0.095,0.032,0.053,0.05,0.043,1.058,0.285,0
3209,16,Jiangsu,2009,669789622.9,35074.6,2257,2040,0.033,0.106,0.034,0.067,0.054,0.047,0.968,0.358,0
3210,16,Jiangsu,2010,731163827.6,42175.2,3697,3167,0.033,0.109,0.033,0.072,0.057,0.048,0.854,0.344,0
3211,16,Jiangsu,2011,796485956.1,49689.5,5248,4181,0.039,0.109,0.028,0.075,0.058,0.051,0.688,0.383,0
3212,16,Jiangsu,2012,819466358,54658.4,7258,6063,0.041,0.113,0.024,0.075,0.057,0.049,0.688,0.377,0
3213,16,Jiangsu,2013,861809498.4,60505.2,8935,5967,0.041,0.121,0.021,0.087,0.064,0.058,0.63,0.493,0
3214,16,Jiangsu,2014,870495699.8,66228.3,10472,7408,0.036,0.119,0.024,0.09,0.059,0.052,0.619,0.265,0
3215,16,Jiangsu,2015,833144487.7,71876,11950,10086,0.037,0.113,0.02,0.117,0.063,0.053,0.537,0.225,0
3216,16,Jiangsu,2016,830689800.1,78261.2,14445,12131,0.04,0.128,0.024,0.108,0.07,0.059,0.507,0.339,0
3217,16,Jiangsu,2017,848511603.7,86512.9,18364,15851,0.039,0.124,0.018,0.113,0.067,0.06,0.48,0.271,0
3218,16,Jiangsu,2018,884215524.3,93456.3,20236,20375,0.045,0.13,0.022,0.118,0.064,0.057,0.457,0.229,0
3219,16,Jiangsu,2019,903868907.2,99836.9,18490,28399,0.045,0.139,0.022,0.122,0.071,0.063,0.395,0.313,0
3220,16,Jiangsu,2020,894963263.8,104566.6,20841,35359,0.046,0.137,0.024,0.123,0.073,0.067,0.426,0.345,0
3221,16,Jiangsu,2021,936367879,119853.2,20634,29852,0.049,0.143,0.022,0.105,0.069,0.061,0.358,0.254,0
3222,16,Jiangsu,2022,919149783.2,124564.2,21215,24802,0.047,0.14,0.022,0.103,0.069,0.059,0.342,0.211,0
3223,16,Jiangsu,2023,963665851.7,130924.3,21349,25029,0.047,0.137,0.022,0.103,0.068,0.059,0.332,0.182,0
3600,17,Jiangxi,2000,80508714.03,2027.8,11,38,0.024,0.067,0.244,0.004,0.033,0.029,7.075,0.131,0
3601,17,Jiangxi,2001,84728768.81,2207.1,11,19,0.023,0.076,0.296,0.004,0.038,0.035,7.517,0.318,0
3602,17,Jiangxi,2002,90491756.73,2487.1,23,36,0.025,0.082,0.324,0.005,0.039,0.038,6.41,0.328,0
3603,17,Jiangxi,2003,105181834.1,2854.7,28,34,0.024,0.078,0.242,0.004,0.038,0.037,4.966,0.15,0
3604,17,Jiangxi,2004,117303726.8,3451.1,34,45,0.03,0.087,0.226,0.004,0.045,0.039,5.221,0.335,0
3605,17,Jiangxi,2005,128496410.6,3991.8,48,68,0.028,0.088,0.231,0.005,0.045,0.038,4.416,0.227,0
3606,17,Jiangxi,2006,135971300.6,4752.4,43,76,0.028,0.086,0.163,0.006,0.045,0.038,3.684,0.129,0
3607,17,Jiangxi,2007,155131109.7,5847.3,75,76,0.031,0.088,0.151,0.006,0.043,0.042,3.078,0.158,0
3608,17,Jiangxi,2008,158460285.5,7028.7,100,117,0.032,0.097,0.138,0.006,0.05,0.046,2.598,0.281,0
3609,17,Jiangxi,2009,176529448.7,7733,120,162,0.036,0.103,0.145,0.016,0.051,0.051,2.465,0.291,0
3610,17,Jiangxi,2010,184656623.1,9503.4,168,221,0.034,0.101,0.13,0.016,0.052,0.046,2.287,0.185,0
3611,17,Jiangxi,2011,203036472.2,11717.4,213,261,0.034,0.104,0.102,0.016,0.056,0.05,2.005,0.171,0
3612,17,Jiangxi,2012,209492684.2,12952.8,249,406,0.036,0.108,0.113,0.022,0.054,0.049,1.732,0.16,0
3613,17,Jiangxi,2013,213709041.9,14473.4,263,374,0.035,0.112,0.104,0.027,0.056,0.048,1.507,0.129,0
3614,17,Jiangxi,2014,211874325.3,15858.6,395,686,0.041,0.114,0.085,0.028,0.06,0.05,1.487,0.208,0
3615,17,Jiangxi,2015,212141056.6,17031.1,569,1128,0.039,0.115,0.096,0.037,0.062,0.053,1.619,0.189,0
3616,17,Jiangxi,2016,214928058.8,18761.2,794,1567,0.043,0.125,0.094,0.05,0.065,0.057,1.456,0.295,0
3617,17,Jiangxi,2017,215656927,20497.6,1135,2227,0.039,0.122,0.078,0.048,0.063,0.059,1.15,0.168,1
3618,17,Jiangxi,2018,225504245.6,23016.9,1359,2601,0.045,0.13,0.073,0.051,0.064,0.058,1.323,0.185,1
3619,17,Jiangxi,2019,226600831.2,24724,1396,3015,0.046,0.144,0.078,0.061,0.073,0.062,1.043,0.332,1
3620,17,Jiangxi,2020,232523996.4,25825.4,1921,3636,0.045,0.131,0.078,0.053,0.068,0.06,1.173,0.151,1
3621,17,Jiangxi,2021,252422344.1,29838.2,1830,2844,0.047,0.141,0.068,0.05,0.073,0.062,0.944,0.226,1
3622,17,Jiangxi,2022,262287917.2,31568.1,2272,2172,0.047,0.138,0.068,0.05,0.073,0.062,0.862,0.217,1
3623,17,Jiangxi,2023,273116317.6,32677.1,2869,2356,0.048,0.134,0.069,0.05,0.072,0.062,0.848,0.206,1
1300,18,Hebei,2000,253490019.9,4663.7,43,105,0.022,0.066,0.091,0.016,0.036,0.033,4.698,0.262,0
1301,18,Hebei,2001,271754640.2,5107.8,46,110,0.024,0.071,0.086,0.02,0.036,0.032,4.199,0.233,0
1302,18,Hebei,2002,308619335.8,5574.9,63,152,0.025,0.078,0.127,0.017,0.042,0.034,4.34,0.333,0
1303,18,Hebei,2003,346976462.4,6406.6,76,125,0.028,0.079,0.09,0.021,0.04,0.035,3.61,0.285,0
