PKU_sum,PKU_wide,PKU_deep,PKU_Pay,bad_loan,insurance_density,insurance_pi,bank_card_pop,debit_card_pop,ATM_area,fin_sub_pop_area,SME_loanshare_assetshare,ag_loanshare_gdpshare
100.35,80.15000000000001,127.53,61.65,-1.07,1170,-.3354179,2.8333836,2.5715294,.18919039,.09001416,.81500036,4.5633793
159.3,122.01,189.07,89.87000000000001,-1.17,1336.6,-.40102208,3.3617663,3.054028,.23555526,.092504255,.80471039,4.841342
181.88,169.89,161.19,142.07,-1.72,1486,-.41460708,3.9152081,3.5591836,.2785441,.092932172,.81418812,4.9964018
220.66,192.11,178.15,186.17,-2.32,1821,-.39844877,4.2912583,3.9560299,.39260721,.094014496,.76806915,5.0085487
28.4,13.54,38.11,38.37,-1.1,893,-.2037338,1.9363548,1.785224,.10430566,.075609326,.52106172,3.0862005
83.68000000000001,61.93,98.06999999999999,61.8,-.91,797.8,-.23729931,2.3160334,2.1423161,.12986648,.076063059,.50875401,3.2117975
142.08,105.06,155.23,87.45,-.82,865,-.30550227,2.7595201,2.5550046,.16248935,.077320434,.45665571,3.4288979
166.65,157.52,132.24,137.08,-.97,1098,-.31271672,3.22456,2.9875734,.19214365,.077217333,.43936607,3.5654614
205.34,181.5,151.05,174.98,-1.48,1330,-.35851559,3.5386159,3.3247652,.27082598,.080490917,.40175226,3.7340338
39.82,35.17,53.56,69.15000000000001,-1.06,955,-.21123153,2.1538639,1.9799533,.07709831,.064961925,1.052808,1.7622415
101.42,82.06,125.84,90.83,-.87,919.5,-.2411353,2.571528,2.3716955,.095991783,.065483518,1.0412402,1.9009074
164.76,123.74,197.04,111.2,-1.02,1012.9,-.31937444,3.0557573,2.821018,.12003805,.067891225,.92540336,2.0994585
190.14,176.61,175.7,165.88,-1.28,1204,-.32932219,3.5688491,3.2968957,.141945,.068533972,.86796558,2.2409642
226.75,199.53,189.08,210.98,-1.58,1441.7,-.33581206,3.9108284,3.6637447,.20007113,.06884402,.77986866,2.3298755
32.68,15.33,60.73,53.36,-1.12,675.3,-.25364527,1.8068349,1.6888899,.052337598,.065130882,.49981558,2.0816703
93.70999999999999,63.39,132.38,75.16,-.91,700.6,-.30680633,2.151129,2.0173454,.065066986,.065171994,.50317544,2.2153437
147.71,103.46,175,100.22,-.99,766,-.37910578,2.5452325,2.3892448,.081532121,.06476409,.47723648,2.6495175
167.27,150.42,153.46,148.44,-1.16,878,-.38504177,2.9606779,2.7810855,.096411735,.066000141,.47584325,2.7760067
206.38,170.07,174.47,186.49,-1.67,1050,-.36086547,3.2421477,3.0884132,.13589209,.066446878,.42475212,2.8248615
69.48,63.41,80.97,59.96,-1.16,1503,-.32730159,2.5292878,2.2466862,.1629678,.0814915,.86064202,1.8787286
127.06,111.37,149.38,81.73,-.9300000000000001,1597.1,-.37571964,3.005522,2.6785207,.20290419,.08274281,.89493781,1.9810897
184.78,153.33,208.44,106.47,-.86,1795,-.43161497,3.5669992,3.1819804,.25415564,.084213324,.86502934,2.2067041
201.53,199.63,175.04,156.69,-1.15,2188.4,-.42186972,4.1469779,3.7018275,.30053905,.085490428,.90438122,2.265018
240.95,225.52,195.87,207.36,-1.43,2594,-.45596761,4.5194144,4.0911565,.42360902,.087163702,.84973812,2.1089282
33.89,19.98,44.06,52.17,-.77,457.8,-.27650502,1.6253769,1.4976262,.041060962,.049626149,.66720653,1.7193608
89.34999999999999,66.47,104.58,69.06999999999999,-.59,516.7000000000001,-.3122656,1.9324139,1.7864072,.051123235,.050905969,.68976468,1.9207321
141.46,106.97,153.84,99.06,-.69,583.7000000000001,-.32997754,2.2861757,2.1154816,.064056404,.051739655,.68507552,2.1399941
166.12,154.29,139.98,139.02,-1.13,626.6,-.34854776,2.6581593,2.4613349,.0757467,.053052075,.68466192,2.2139747
207.23,176.33,153.46,177.23,-2.18,804.3,-.34426823,2.9049883,2.7278061,.10676478,.054257207,.63637316,2.1698449
45.56,30.96,57.74,60.56,-.78,612.63,-.29582435,2.5847099,2.3727524,.095329627,.41428256,.38684291,.91525918
102.94,79.51000000000001,120.72,87.09,-.55,680,-.30197158,3.0652666,2.8231883,.11869082,.41923118,.37580022,1.0358996
158.26,121.75,173.37,110.76,-.49,811.4,-.30300695,3.6194334,3.3368106,.14850631,.42936042,.35128787,.99966496
179.62,170.99,153.8,157.71,-.55,946.1,-.43337592,4.201086,3.875632,.17560872,.4420563,.34049058,.99939644
230.33,192.26,184.91,195.59,-.69,1254,-.34049547,4.5944223,4.2982464,.24752004,.45930064,.28263786,.93550503
41.89,40.38,47.46,59.24,-.63,1090,-.23732194,2.3014503,2.1040802,.081369497,.21248524,.43105304,2.1708651
100.02,85.39,116.14,89.59999999999999,-.46,1124,-.27731901,2.7336452,2.5074589,.10130966,.21328777,.43102103,2.1817145
159.86,125.27,178.2,113.4,-.35,1209.5,-.34685034,3.2322056,2.9676318,.12680358,.21794331,.44547954,2.3966937
184.71,175.57,157.88,158.33,-.46,1361,-.37175381,3.7589068,3.4535253,.14994523,.22072648,.41711238,2.5671628
221.84,197.46,171.58,191.7,-.99,1706,-.42753577,4.1096888,3.8290353,.21134743,.18246552,.39406469,2.604542
40.16,29.02,58.56,45.49,-1.3,968,-.24528046,1.8546169,1.7139693,.036427591,.033128001,.91052002,2.2875111
100.13,74.36,126.5,78.66,-1.02,1014.7,-.28418785,2.2153113,2.0540669,.045354426,.033745583,.85430408,2.491446
153.04,114.03,176.71,102.38,-.79,1134.4,-.34396845,2.6315382,2.4423552,.056624889,.034085236,.87241817,2.780997
173.82,162.58,159.82,149.32,-1.26,1308.3,-.35256296,3.0698373,2.8510482,.066958934,.034755006,.87351042,2.8788631
215.48,182.08,176.54,190.6,-2,1397,-.35824066,3.3582127,3.1628368,.094378449,.035146784,.78681934,2.9149568
18.47,3.06,27.51,49.21,-.95,379.4,-.29967055,1.6898143,1.5751412,.046316557,.070186302,.59420115,3.0182371
