地区,所属地域,id,年份,规模以上工业企业平均用工人数（万人）,规模以上工业企业固定资产净值（亿元）,能源投入（万吨标准煤）,工业增加值(亿元),工业废水排放量（万吨）,工业固体废弃物排放量（万吨）,,GML指数,工业绿色全要素生产率
宁夏,西部,29,2004,25.7,446.32,2322,190.3,9510,16.7,,1.113050583,1.30651709
新疆,西部,30,2004,44.98,1533.71,4910,734.5,17671,31,,1.138287483,1.34448687
北京,东部,1,2005,116.97,3324.66,5522,1600.5,12813,5.1,,1.011126304,1.401832189
天津,东部,2,2005,122.17,2476.97,4085,1451.3,30081,9.6,,1.131894545,1.58954223
河北,东部,3,2005,292.21,4669.77,19836,3638.5,124533,127.3,,1.053758451,1.295811571
山西,中部,4,2005,213.2,3645.84,12750,2192.3,32099,160.5,,1.093701331,1.673193397
内蒙古,西部,5,2005,83.7,2621.52,9666,1101.7,24967,106,,1.000047392,1.168705534
辽宁,东部,6,2005,276.55,5493.1,13611,3081.2,105072,97,,1.093521704,1.187068896
吉林,中部,7,2005,101.83,2182.09,5315,819.8,41189,46.4,,1.078091307,1.198386038
黑龙江,中部,8,2005,136.85,2772.96,8050,2556.6,45158,57.8,,1.152563858,1.560119506
上海,东部,9,2005,259.63,6071.47,8225,4038.7,51097,6.1,,1.045548119,1.407190306
江苏,东部,10,2005,704.24,10322.64,17167,9155,296318,78.1,,1.087970831,1.23304293
浙江,东部,11,2005,659.12,7506.14,12032,6177.6,192426,43,,1.023487488,0.941128582
安徽,中部,12,2005,155.21,2358.8,6506,1664.6,63487,71.5,,1.09910777,1.45502581
福建,东部,13,2005,290.41,2807.07,6142,2744.7,130939,31.1,,0.982244448,1.082556996
江西,中部,14,2005,112.11,1465.51,4286,1468.7,53972,58,,1.103336249,1.81571386
山东,东部,15,2005,738.23,9943.37,24162,7875.6,139071,85.8,,1.041063767,1.119688179
河南,中部,16,2005,362.79,4612.12,14625,4563.4,123476,156.1,,1.15355127,1.443114085
湖北,中部,17,2005,188.3,4504.98,10082,2410.4,92432,60.4,,1.073353642,1.29732343
湖南,中部,18,2005,169.25,2286.83,9709,2075.4,122440,122.2,,1.030214394,1.247035595
广东,东部,19,2005,1085.65,9996.7,17921,10231.1,231568,59.2,,1.055137783,1.272821739
广西,西部,20,2005,91.21,1520.28,4869,1098.4,145609,109.4,,1.028009676,1.281570883
海南,东部,21,2005,12.1,427.56,822,168.9,7428,2.1,,0.896261803,1.512421245
重庆,西部,22,2005,92.42,1285.6,4943,1294.9,84885,34.4,,0.973925733,1.433855176
四川,西部,23,2005,218.99,3563.39,11816,2454.3,122590,101.8,,1.11149709,1.453984311
贵州,西部,24,2005,68.08,1472.95,5641,679,14850,39.6,,1.143688266,1.337669292
云南,西部,25,2005,68.83,1588.3,6024,1144.6,32928,32.6,,1.027116941,1.274720067
陕西,西部,26,2005,118.97,2615.98,5571,1532.2,42819,63.2,,1.089721565,1.523935297
甘肃,西部,27,2005,68.62,1295.08,4368,633.3,16798,29,,1.185420697,1.649277198
青海,西部,28,2005,14.04,736.05,1670,133,7619,15,,1.184274641,1.848875882
