省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人
23,黑龙江省,2020,3170.91,2080.43,1090.48
23,黑龙江省,2021,3125,2053,1072
23,黑龙江省,2022,3099,2052,1047
23,黑龙江省,2023,3062,2055,1007
23,黑龙江省,2024,3029,2061,968
31,上海市,2000,1609,,
31,上海市,2001,1668.33,,
31,上海市,2002,1712.97,,
31,上海市,2003,1765.84,,
31,上海市,2004,1834.98,,
31,上海市,2005,1890.26,1684.03,206.23
31,上海市,2006,1964.11,1742.16,221.94
31,上海市,2007,2063.59,1830.41,233.19
31,上海市,2008,2140.64,1896.61,244.03
31,上海市,2009,2210.28,1958.31,251.97
31,上海市,2010,2302.66,2056.37,246.29
31,上海市,2011,2356,2096.28,251.18
31,上海市,2012,2399,2125.72,254.71
31,上海市,2013,2448,2163.97,251.18
31,上海市,2014,2467,2173.41,252.27
31,上海市,2015,2458,2115.78,299.49
31,上海市,2016,2467,2127.18,292.82
31,上海市,2017,2466,2120.59,297.41
31,上海市,2018,2475,2135.54,288.46
31,上海市,2019,2481,2144,284
31,上海市,2020,2488.22,2221.98,266.24
31,上海市,2021,2489,2223,266
31,上海市,2022,2475,2211,264
31,上海市,2023,2487,2225,262
31,上海市,2024,2480,2228.25,251.75
32,江苏省,2000,7327,,
32,江苏省,2001,7359,,
32,江苏省,2002,7406,,
32,江苏省,2003,7458,,
32,江苏省,2004,7523,,
32,江苏省,2005,7588.24,3832.06,3756.18
32,江苏省,2006,7655.66,3973.29,3682.37
32,江苏省,2007,7723.13,4108.7,3614.42
32,江苏省,2008,7762.48,4215.03,3547.45
32,江苏省,2009,7810.27,4342.51,3467.76
32,江苏省,2010,7869.34,4767.25,3102.09
32,江苏省,2011,8023,4889.36,3009.44
32,江苏省,2012,8120,4989.59,2930.39
32,江苏省,2013,8192,5090.01,2849.48
32,江苏省,2014,8281,5190.76,2769.3
32,江苏省,2015,8315,5305.83,2670.47
32,江苏省,2016,8381,5416.92,2582.08
32,江苏省,2017,8423,5520.95,2508.35
32,江苏省,2018,8446,5604.3,2446.7
32,江苏省,2019,8469,5698,2372
32,江苏省,2020,8477.26,6225.7,2251.56
32,江苏省,2021,8505,6289,2216
32,江苏省,2022,8515,6337,2178
32,江苏省,2023,8526,6398,2128
32,江苏省,2024,8526,6437,2089
33,浙江省,2000,4680,,
33,浙江省,2001,4728.8,,
33,浙江省,2002,4776.4,,
33,浙江省,2003,4856.8,,
33,浙江省,2004,4925.2,,
33,浙江省,2005,4990.9,2795.9,2195
33,浙江省,2006,5071.8,2865.57,2206.23
33,浙江省,2007,5154.9,2948.6,2206.3
33,浙江省,2008,5212.4,3002.34,2210.06
33,浙江省,2009,5275.5,3054.51,2220.99
33,浙江省,2010,5446.51,3356.14,2090.37
33,浙江省,2011,5570,3403.45,2059.55
33,浙江省,2012,5685,3461.46,2015.54
33,浙江省,2013,5784,3518.72,1979.28
33,浙江省,2014,5890,3573.04,1934.96
33,浙江省,2015,5985,3644.66,1894.34
33,浙江省,2016,6072,3745.3,1844.7
33,浙江省,2017,6170,3846.76,1810.24
33,浙江省,2018,6273,3952.79,1784.21
33,浙江省,2019,6375,4095,1755
33,浙江省,2020,6468.3,4668.17,1800.13
33,浙江省,2021,6540,4752,1788
33,浙江省,2022,6577,4826,1751
33,浙江省,2023,6627,4919,1708
33,浙江省,2024,6670,5033,1637
34,安徽省,2000,6093,,
34,安徽省,2001,6128,,
34,安徽省,2002,6144,,
34,安徽省,2003,6163,,
34,安徽省,2004,6228,,
34,安徽省,2005,6120.09,2172.63,3947.46
34,安徽省,2006,6110,2266.81,3843.19
34,安徽省,2007,6118,2367.67,3750.33
34,安徽省,2008,6135,2484.68,3650.32
34,安徽省,2009,6131,2581.15,3549.85
34,安徽省,2010,5956.7,2561.98,3394.72
34,安徽省,2011,5972,2673.66,3294.34
34,安徽省,2012,5978,2784.42,3203.58
34,安徽省,2013,5988,2885.86,3143.94
34,安徽省,2014,5997,2989.75,3093.15
34,安徽省,2015,6011,3102.52,3041.08
34,安徽省,2016,6033,3221.3,2974.7
34,安徽省,2017,6057,3345.8,2909.2
34,安徽省,2018,6076,3458.6,2865.4
34,安徽省,2019,6092,3553,2813
34,安徽省,2020,6104.76,3560.91,2543.85
34,安徽省,2021,6113,3631,2482
34,安徽省,2022,6127,3686,2441
34,安徽省,2023,6121,3765,2356
34,安徽省,2024,6123,3831,2291.8
35,福建省,2000,3410,,
35,福建省,2001,3445.38,,
35,福建省,2002,3476.03,,
35,福建省,2003,3501.97,,
35,福建省,2004,3529.1,,
35,福建省,2005,3557,1757.16,1799.84
35,福建省,2006,3585,1806.84,1778.16
35,福建省,2007,3612,1856.57,1755.43
35,福建省,2008,3639,1928.67,1710.33
35,福建省,2009,3666,2019.97,1646.03
35,福建省,2010,3693,2108.7,1584.3
35,福建省,2011,3784,2161.32,1558.68
35,福建省,2012,3841,2233.81,1514.19
35,福建省,2013,3885,2293.46,1480.54
35,福建省,2014,3945,2352.11,1453.89
35,福建省,2015,3984,2403.21,1435.79
35,福建省,2016,4016,2463.86,1410.14
35,福建省,2017,4065,2534.33,1376.67
35,福建省,2018,4104,2593.97,1347.03
35,福建省,2019,4137,2642,1331
35,福建省,2020,4161.44,2860.99,1300.45
35,福建省,2021,4187,2918,1269
35,福建省,2022,4188,2937,1251
35,福建省,2023,4183,2972,1211
35,福建省,2024,4193,3011,1182
36,江西省,2000,4149,,
36,江西省,2001,4185.77,,
36,江西省,2002,4222,,
36,江西省,2003,4254,,
36,江西省,2004,4284,,
36,江西省,2005,4311.24,1595.16,2716.08
