uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg
3219,16,Jiangsu,2019,903868928,99836.898,44281.398,18490,28399,.045000002,.139,.022,.122,.071000002,.063000001,.39500001,.31299999,0,11.511293,20.622194,4.0054145,6.3390398,1.0692729,1.2645782,-.49080068,2.5224783,1.1956381,1.2345848,-.64056402,.016803624,5.0883541,.16029169,.3172856,8469,5698,.67280668,372.77261,.029647354,0,-2,1,0,0,0,0,0,0,0,.44353741
3220,16,Jiangsu,2020,894963264,104566.6,45391.398,20841,35359,.046,.13699999,.024,.123,.072999999,.067000002,.426,.345,0,11.557579,20.612293,4.5771809,8.0152054,1.1917386,1.1806227,-.48671183,2.5527956,1.3568766,1.6008984,-.63557094,-.072242953,6.0849032,.34329563,.29762027,8477.2598,6225.7002,.73440003,336.9007,.02462445,0,-1,0,0,0,0,0,0,0,0,.43409079
3221,16,Jiangsu,2021,936367872,119853.2,53575.801,20634,29852,.048999999,.14300001,.022,.105,.068999998,.061000001,.35800001,.25400001,0,11.694023,20.657518,4.5268383,6.6889634,1.5591363,1.4324894,-.49080068,2.0070863,1.0343989,1.0514281,-.64652354,.031557586,5.3030748,.26381361,.27666789,8505,6289,.73944736,336.7963,.023091555,0,0,0,1,0,0,0,0,0,0,.44701183
3222,16,Jiangsu,2022,919149760,124564.2,55343.398,21215,24802,.046999998,.14,.022,.103,.068999998,.059,.34200001,.211,0,11.732576,20.63896,4.6681385,5.4727802,1.3142043,1.306556,-.49080068,1.946452,1.0343989,.86827129,-.64910066,-.0055548572,4.8363709,.16698374,.27386686,8515,6337,.74421608,279.2016,.01873664,0,1,0,0,1,0,0,0,0,0,.44429618
3223,16,Jiangsu,2023,963665856,130924.3,57329.801,21349,25029,.046999998,.13699999,.022,.103,.068000004,.059,.33199999,.182,0,11.782374,20.686255,4.7007275,5.5274482,1.3142043,1.1806227,-.49080068,1.946452,.95377994,.86827129,-.6507113,-.073903553,4.8931861,.16326201,,8526,6398,.7504105,247.22,.016219359,0,2,0,0,0,1,0,0,0,0,.43788511
3600,17,Jiangxi,2000,80508712,2027.8,700.79999,11,38,.024,.067000002,.244,.0040000002,.033,.028999999,7.0749998,.131,0,7.614707,18.203876,-.48870298,-.4910934,-1.5025125,-1.7578163,-.036937136,-1.054948,-1.8678998,-1.8790798,.43536955,-1.8302022,-.17069629,-.12578318,,4149,,,,,0,-21,0,0,0,0,0,0,0,0,.34559619
3601,17,Jiangxi,2001,84728768,2207.1001,786.09998,11,19,.023,.075999998,.296,.0040000002,.037999999,.035,7.5170002,.31799999,0,7.6994348,18.254965,-.48870298,-.49566913,-1.6249784,-1.3800172,.069373243,-1.054948,-1.4648029,-1.3296096,.50656164,-1.4722894,-.2635856,.026391231,,4185.77,,,,,0,-20,0,0,0,0,0,0,0,0,.35616869
3602,17,Jiangxi,2002,90491760,2487.1001,941.79999,23,36,.025,.082000002,.324,.0049999999,.039000001,.037999999,6.4099998,.32800001,0,7.8188729,18.32077,-.48578456,-.49157503,-1.3800464,-1.1281507,.1266173,-1.0246308,-1.3841833,-1.0548745,.32825941,-1.2280757,-.33499512,.0058230232,,4222,,,,,0,-19,0,0,0,0,0,0,0,0,.37867394
3603,17,Jiangxi,2003,105181832,2854.7,1204.3,28,34,.024,.078000002,.242,.0040000002,.037999999,.037,4.9660001,.15000001,0,7.9567218,18.471201,-.48456854,-.4920567,-1.5025125,-1.2960615,-.041026007,-1.054948,-1.4648029,-1.1464528,.095677383,-1.3810511,-.33281487,-.23342632,.54391724,4254,,,,,0,-18,0,0,0,0,0,0,0,0,.42186573
3604,17,Jiangxi,2004,117303728,3451.1001,1505.2,34,45,.029999999,.086999997,.226,.0040000002,.045000002,.039000001,5.2210002,.33500001,0,8.1464481,18.580276,-.48310933,-.4894076,-.76771677,-.91826236,-.073736899,-1.054948,-.90046668,-.96329606,.13674971,-.85724574,-.47857246,-.14271921,.58835125,4284,,,,,0,-17,0,0,0,0,0,0,0,0,.43615076
3605,17,Jiangxi,2005,128496408,3991.8,1834.7,48,68,.028000001,.088,.23100001,.0049999999,.045000002,.037999999,4.4159999,.227,0,8.2919979,18.671412,-.47970453,-.48386854,-1.0126485,-.8762846,-.063514724,-1.0246308,-.90046668,-1.0548745,.0070900032,-.94408578,-.45221779,-.22115813,.57179224,4311.2402,1595.16,.37000027,,,0,-16,0,0,0,0,0,0,0,0,.4596172
3606,17,Jiangxi,2006,135971296,4752.3999,2337.6001,43,76,.028000001,.086000003,.163,.0060000001,.045000002,.037999999,3.684,.12899999,0,8.4664049,18.727955,-.48092052,-.48194191,-1.0126485,-.96023983,-.202536,-.9943136,-.90046668,-1.0548745,-.11081169,-.98728365,-.45075855,-.36932132,.59202474,4339.1299,1678.37,.38679874,,,0,-15,0,0,0,0,0,0,0,0,.49187782
3607,17,Jiangxi,2007,155131104,5847.2998,2950.3,75,76,.030999999,.088,.15099999,.0060000001,.043000001,.041999999,3.0780001,.15800001,0,8.6737356,18.859781,-.47313809,-.48194191,-.6452508,-.8762846,-.22706918,-.9943136,-1.0617056,-.68856108,-.20841883,-.80513334,-.51155776,-.40048471,.62552178,4368.4102,1738.63,.39800066,13.8809,.015337025,0,-14,0,0,0,0,0,0,0,0,.50455767
