year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
2011,新疆,6610.05,2284.49,53.67,0.023493209
2012,北京,17879.4,3685.3076,113.537,0.030808012
2012,天津,12893.88,2143.2125,38.4869,0.017957575
2012,河北,26575.01,4079.4366,127.9295,0.0313596
2012,山西,12112.83,2759.4582,88.1725,0.03195283
2012,内蒙古,15880.58,3425.9895,131.5865,0.03840832
2012,辽宁,24846.43,4558.5851,93.2663,0.020459484
2012,吉林,11939.24,2471.1956,113.8468,0.046069522
2012,黑龙江,13691.58,3171.5236,104.8634,0.033064045
2012,上海,20181.72,4184.017,55.1842,0.013189287
2012,江苏,54058.22,7027.6665,193.8259,0.027580407
2012,浙江,34665.33,4161.8779,77.698,0.018668976
2012,安徽,17212.05,3961.008,95.5189,0.024114796
2012,福建,19701.78,2607.502,48.5982,0.018637838
2012,江西,12948.88,3019.2244,66.9129,0.022162281
2012,山东,50013.24,5904.5188,154.4192,0.026152715
2012,河南,29599.31,5006.399,109.4525,0.02186252
2012,湖北,22250.45,3759.7915,95.634,0.025435985
2012,湖南,22154.23,4119.0015,109.4342,0.026568138
2012,广东,57067.92,7387.8565,235.4391,0.031868391
2012,广西,13035.1,2985.2261,60.009,0.020101995
2012,海南,2855.54,911.673,21.2315,0.023288504
2012,重庆,11409.6,3046.3599,128.6852,0.042242284
2012,四川,23872.8,5450.9893,135.9422,0.024938996
2012,贵州,6852.2,2755.6818,65.731,0.023852899
2012,云南,10309.47,3572.6574,101.1156,0.02830263
2012,西藏,701.03,905.3384,23.6654,0.026139839
2012,陕西,14453.68,3323.802,94.1427,0.028323799
2012,甘肃,5650.2,2059.5638,72.0006,0.03495915
2012,青海,1893.54,1159.0499,43.9919,0.037955139
2012,宁夏,2341.29,864.3616,35.3727,0.040923498
2012,新疆,7505.31,2720.0673,64.1211,0.023573351
2013,北京,19500.56,4173.6563,138.1672,0.033104595
2013,天津,14370.16,2549.2061,48.437,0.019000818
2013,河北,28301.41,4409.5849,171.8643,0.038975165
2013,山西,12602.24,3030.1263,98.1575,0.032393864
2013,内蒙古,16832.38,3686.516,132.1085,0.035835597
2013,辽宁,27077.65,5197.4158,108.5925,0.020893556
2013,吉林,12981.46,2744.8114,126.8326,0.046208129
2013,黑龙江,14382.93,3369.1827,115.7524,0.034356225
2013,上海,21602.12,4528.6079,56.4273,0.012460187
2013,江苏,59161.75,7798.4737,229.1832,0.029388212
2013,浙江,37568.49,4730.4659,98.1384,0.020746033
2013,安徽,19038.87,4349.6871,108.4246,0.024926988
2013,福建,21759.64,3068.8006,58.6029,0.019096353
2013,江西,14338.5,3470.3013,74.1652,0.021371401
2013,山东,54684.33,6688.8,212.8095,0.031815797
2013,河南,32155.86,5582.3139,111.9228,0.020049535
2013,湖北,24668.49,4371.6467,109.7196,0.025098003
2013,湖南,24501.67,4690.8853,128.6696,0.027429705
2013,广东,62163.97,8410.9995,307.7778,0.036592298
2013,广西,14378,3208.6656,64.2258,0.020016358
2013,海南,3146.46,1011.1713,23.1774,0.022921339
2013,重庆,12656.69,3062.2848,114.5459,0.037405371
2013,四川,26260.77,6220.9097,159.9491,0.025711529
2013,贵州,8006.79,3082.6578,66.4429,0.021553771
2013,云南,11720.91,4096.513,105.2946,0.02570347
2013,西藏,807.67,1014.3128,17.2143,0.016971392
2013,陕西,16045.21,3665.0665,109.7656,0.029949143
2013,甘肃,6268.01,2309.623,69.8222,0.030230994
2013,青海,2101.05,1228.0484,66.7797,0.05437872
2013,宁夏,2565.06,922.4819,32.9285,0.035695551
2013,新疆,8360.24,3067.1241,68.9919,0.022494003
2014,北京,21330.83,4524.669,213.3553,0.047153792
2014,天津,15726.93,2884.6993,57.9312,0.020082232
2014,河北,29421.15,4677.2981,193.4322,0.041355542
2014,山西,12761.49,3085.2826,95.2555,0.030874157
2014,内蒙古,17770.19,3879.9789,142.7534,0.036792313
2014,辽宁,28626.58,5080.4858,106.0954,0.020882924
2014,吉林,13803.14,2913.2468,140.3017,0.048159909
2014,黑龙江,15039.38,3434.2184,111.5668,0.03248681
2014,上海,23567.7,4923.4372,77.3187,0.015704212
2014,江苏,65088.32,8472.4466,237.7844,0.028065612
2014,浙江,40173.03,5159.568,120.653,0.023384322
2014,安徽,20848.75,4664.0973,104.7646,0.022461924
2014,福建,24055.76,3306.6986,61.7958,0.018688065
2014,江西,15714.63,3882.7011,68.1277,0.01754647
2014,山东,59426.59,7177.3136,166.6733,0.02322224
2014,河南,34938.24,6028.694,119.9451,0.019895702
2014,湖北,27379.22,4934.1457,103.7752,0.02103205
2014,湖南,27037.32,5017.3828,137.4932,0.027403371
2014,广东,67809.85,9152.6351,259.0367,0.028301871
2014,广西,15672.89,3479.7922,83.9981,0.024138826
2014,海南,3500.72,1099.7444,23.2786,0.021167282
2014,重庆,14262.6,3304.3884,105.5083,0.031929751
2014,四川,28536.66,6796.6109,168.6939,0.024820297
2014,贵州,9266.39,3542.8029,85.3406,0.024088441
2014,云南,12814.59,4437.9771,108.8821,0.024534173
2014,西藏,920.83,1185.5107,29.2349,0.024660174
2014,陕西,17689.94,3962.5042,112.5076,0.028393055
